Titulo,Precio,Metros,Precio_m2,Ubicacion,Link,lat,lon
Casa en Condominio en Venta en Cholul,6580000.0,326.0,20184.05,Cholul,https://www.lamudi.com.mx/detalle/41032-73-d6ccee079bda-965b-1954a76-894a-7e12,21.04606024867478,-89.55166602497204
Departamento en Venta en Temozon Norte,2450000.0,65.0,37692.31,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-cfe47795911b-3a81-198f8c6-8497-7568,21.065764326871076,-89.63353713645621
Departamento en Venta en Temozon Norte,4000000.0,163.0,24539.88,Centro,https://www.lamudi.com.mx/detalle/41032-73-ba2eeac98aae-b98f-197005e-9445-72f1,20.968044239859292,-89.6236585755519
Lote / Terreno en Venta en Xcunyá,14070980.0,40202.0,350.01,Mérida,https://www.lamudi.com.mx/detalle/41032-73-f7911d9d2297-7f89-1970066-b16b-7d7f,20.96692206854771,-89.62420598146547
Departamento en Venta en Temozon Norte,2550000.0,83.0,30722.89,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-d17377e33681-3f51-1965fcf-9ceb-7aef,21.065875843386884,-89.6338175615563
Departamento en Venta en Temozon Norte,4379000.0,104.24,42008.83,Mérida,https://www.lamudi.com.mx/detalle/41032-73-b6d3f585f909-3a99-1976757-979e-7ed5,20.96750781266438,-89.62415340404729
Departamento en Venta en San Antonio Cucul,5900000.0,127.0,46456.69,Altabrisa,https://www.lamudi.com.mx/detalle/41032-73-ce934443a507-9e60-1f841650-8502-312a,21.018093431571188,-89.58586020146862
Casa en Venta en Chablekal,9000000.0,362.0,24861.88,Mérida,https://www.lamudi.com.mx/detalle/41032-73-cba6f76f1312-a1b6-19b0b45-9f80-7f1c,20.966927877641176,-89.62376378586464
Departamento en Venta en Temozon Norte,7200000.0,330.0,21818.18,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-d818808161f6-eca9-19b0602-ae21-76e6,21.065815222122154,-89.63384467235984
Departamento en Venta en Temozon Norte,2983725.0,75.0,39783.0,Centro,https://www.lamudi.com.mx/detalle/41032-73-f63ff661ce0d-59-19a4f39-b8c2-7ae5,20.96741032933359,-89.62323015510175
Casa en Venta en Mérida Centro,6950000.0,628.48,11058.43,Mérida Centro,https://www.lamudi.com.mx/detalle/41032-73-f39bd3de8286-6313-197240f-acb5-7846,20.967376678888492,-89.62392312712745
Casa en Venta en Yucatán Country Club,15500000.0,653.0,23736.6,Country Club,https://www.lamudi.com.mx/detalle/41032-73-6e014f0a32df-7536-1949371-bd53-7aab,21.080558226428245,-89.60069114812394
Casa en Venta en Dzitya,4000000.0,230.0,17391.3,Mérida,https://www.lamudi.com.mx/detalle/41032-73-cd75952891a1-d2c-196b80d-b167-7df0,20.96664827326909,-89.62343089364892
Casa en Venta en Cholul,5500000.0,446.0,12331.84,Cholul,https://www.lamudi.com.mx/detalle/41032-73-6fc49f3053dc-712d-198f159-a0e6-75ac,21.045278722155953,-89.55177828659104
Departamento en Venta en Oncan,14344173.0,216.7,66193.69,Centro,https://www.lamudi.com.mx/detalle/41032-73-eaca68c82f6-5e90-198f152-bcca-71e8,20.967168526470537,-89.62359544031312
Casa en Venta en Komchen,3134050.0,207.0,15140.34,Mérida,https://www.lamudi.com.mx/detalle/41032-73-6db3a0926085-6d2f-198f152-bb76-7a86,20.967315101480594,-89.6234025771109
Casa en Venta en Temozon Norte,7800000.0,324.32,24050.32,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-188dc0b2e873-f6fc-198f155-ab7b-7a96,21.065134571930447,-89.63335657195721
Casa en Venta en Dzitya,7600000.0,545.0,13944.95,Dzityá,https://www.lamudi.com.mx/detalle/41032-73-ebd2f5ac72e2-be22-198f14e-aedd-723e,21.05047917468023,-89.68090819766647
Departamento en Venta en San Antonio Cucul,6775893.0,122.68,55232.25,Centro,https://www.lamudi.com.mx/detalle/41032-73-918fde7ae984-6799-198f158-9e41-713d,20.967959053385044,-89.6237650383467
Departamento en Venta en San Antonio Cucul,5392550.0,95.18,56656.34,Centro,https://www.lamudi.com.mx/detalle/41032-73-b28aeafd72c4-bf2-198f158-8feb-7df5,20.967212022265937,-89.62332561181358
Casa en Venta en Mérida Centro,7990000.0,200.0,39950.0,Mérida Centro,https://www.lamudi.com.mx/detalle/41032-73-19d39582f829-c2e7-198f157-b762-76ad,20.96764327622361,-89.62380731030362
Casa en Condominio en Venta en Cholul,5770000.0,288.91,19971.62,Cholul,https://www.lamudi.com.mx/detalle/41032-73-3316d91da6a4-ba24-198f14e-9c12-7df2,21.045294484269533,-89.55125630733919
Casa en Venta en Cholul,3090000.0,164.0,18841.46,Cholul,https://www.lamudi.com.mx/detalle/41032-73-b6ab715a51c0-4267-197c943-baf7-7497,21.04586087768446,-89.55198862507017
Casa en Condominio en Venta en Temozon Norte,5621000.0,233.0,24124.46,Mérida,https://www.lamudi.com.mx/detalle/41032-73-d863dbddb837-3415-1934ce5-960d-7095,20.966893391407716,-89.62352967239435
Casa en Venta en Temozon Norte,8000000.0,315.0,25396.83,Mérida,https://www.lamudi.com.mx/detalle/41032-73-77d8546353c-7ca7-18f31e8-9871-7140,20.966999803310383,-89.62350230948148
Casa en Venta en Temozon Norte,3790000.0,178.0,21292.13,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-ae5aeb747908-1013-19a8a66-a8c4-78e7,21.065772560730164,-89.63425159887953
Departamento en Venta en Villas La Hacienda,2895000.0,67.0,43208.96,Mérida,https://www.lamudi.com.mx/detalle/41032-73-e747f30a5433-a6d1-1936676-a392-7afe,20.96737101381999,-89.6233454972846
Casa en Venta en Temozon Norte,12500000.0,601.0,20798.67,Mérida,https://www.lamudi.com.mx/detalle/41032-73-3b93ce3d0c92-a12d-195928c-854f-7995,20.96746073168295,-89.62357699211665
Lote / Terreno en Venta en Xcunyá,14457912.0,36144.0,400.01,Centro,https://www.lamudi.com.mx/detalle/41032-73-cbf2c97f5904-bd25-19a3dd3-af11-7824,20.967198499851307,-89.62337339298598
Casa en Venta en La Rejoyada,11900000.0,810.0,14691.36,Mérida,https://www.lamudi.com.mx/detalle/41032-73-6d871440707f-40c0-197ce7c-9408-7496,20.96725241313041,-89.62408641550019
Casa en Venta en Cholul,3590000.0,250.0,14360.0,Cholul,https://www.lamudi.com.mx/detalle/41032-73-48eaededf4f1-cd92-19ac323-893a-76a1,21.045714361871514,-89.55188036263982
Casa en Venta en Temozon Norte,8279000.0,296.0,27969.59,Mérida,https://www.lamudi.com.mx/detalle/41032-73-bb79163651e3-210a-1988cac-b98d-70f1,20.967523152180338,-89.6233249320688
Casa en Venta en Temozon Norte,4300000.0,151.0,28476.82,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-aba37573c12b-b40d-198d4f9-949e-7384,21.065925991806978,-89.63416069351666
Casa en Venta en Dzitya,5700000.0,385.0,14805.19,Dzityá,https://www.lamudi.com.mx/detalle/41032-73-a3980a2c8fac-fc5-19a13fb-b44e-7c7d,21.05069571779023,-89.68064053738397
Casa en Venta en Cholul,3750000.0,208.0,18028.85,Cholul,https://www.lamudi.com.mx/detalle/41032-73-5bcae6c839d6-fd78-19b7227-aeed-7542,21.046092626702784,-89.55113660863617
Casa en Venta en Yucatán Country Club,16500000.0,450.0,36666.67,Country Club,https://www.lamudi.com.mx/detalle/41032-73-4f2f7c7885d-59c3-19b7236-a9b8-7821,21.080012278871045,-89.60039687249451
Casa en Venta en Temozon Norte,5435000.0,285.0,19070.18,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-23e65bb1e530-c280-19b7239-a944-72c9,21.065430688406817,-89.6340155740101
Casa en Venta en Mérida Centro,12600000.0,389.0,32390.75,Mérida Centro,https://www.lamudi.com.mx/detalle/41032-73-dbc0cffaa415-ccde-19b722e-82f6-7371,20.96720572323083,-89.62360424253087
Casa en Venta en San Pedro Uxmal,5950000.0,213.0,27934.27,Centro,https://www.lamudi.com.mx/detalle/41032-73-40bd83c467c5-e7bb-19b723c-b291-7d13,20.967796137442125,-89.62389509436579
Casa en Venta en Temozon Norte,4050000.0,239.0,16945.61,Mérida,https://www.lamudi.com.mx/detalle/41032-73-996acca30b02-475a-19b7230-87db-79e5,20.967035769791337,-89.62411468153215
Casa en Venta en Temozon Norte,4100000.0,200.0,20500.0,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-34d304df3b7-bf9e-19b498f-9d52-7623,21.065500252443528,-89.6333594302599
Departamento en Venta en Temozon Norte,2900000.0,79.0,36708.86,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-303d7ab05267-9135-19b7e0b-94a4-7c00,21.065699455721635,-89.63421626671197
Departamento en Venta en Temozon Norte,2850000.0,97.0,29381.44,Mérida,https://www.lamudi.com.mx/detalle/41032-73-eb69f47a1506-158f-19b7d90-a989-7cbc,20.967379602183083,-89.62365448417685
Casa en Venta en Temozon Norte,6849000.0,343.79,19922.05,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-850a1a6e3b69-deeb-19af73d-952a-7525,21.065273352637465,-89.6337524767393
Departamento en Venta en Temozon Norte,2140000.0,47.0,45531.91,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-c8f8f43dbc52-394c-19b0bdf-9684-71bf,21.065539363750805,-89.63332180458313
Casa en Venta en Dzitya,4040000.0,208.0,19423.08,Dzityá,https://www.lamudi.com.mx/detalle/41032-73-7f00d685dae7-b82d-19af20c-9cae-74f8,21.050535950622546,-89.68071898794392
Departamento en Venta en Temozon Norte,2850000.0,82.0,34756.1,Mérida,https://www.lamudi.com.mx/detalle/41032-73-e71aae848fb4-5050-19b6dc2-bc96-7b95,20.967289160644373,-89.62370933100108
Departamento en Venta en Temozon Norte,3520000.0,44.0,80000.0,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-fdc853c45002-e2b8-19b5e42-a818-794e,21.065489488964975,-89.63345586696863
Departamento en Venta en Temozon Norte,3449000.0,82.0,42060.98,Mérida,https://www.lamudi.com.mx/detalle/41032-73-2f7ee2ddc35b-4d84-19b3f53-a884-7db4,20.96730554930152,-89.62419500281331
Departamento en Venta en Temozon Norte,2989000.0,2000.0,1494.5,Centro,https://www.lamudi.com.mx/detalle/41032-73-545591bcfac5-f4fc-19af206-ab24-7b91,20.96760210835925,-89.62407675097992
Departamento en Venta en Montecarlo,3215000.0,81.0,39691.36,Mérida,https://www.lamudi.com.mx/detalle/41032-73-aed6b9a07213-2720-19b2835-89ea-7eef,20.967053086499277,-89.62419516211379
Departamento en Venta en Temozon Norte,3500000.0,78.0,44871.79,Mérida,https://www.lamudi.com.mx/detalle/41032-73-5ba0fa7a2965-e08e-19aea50-b352-70bb,20.966831336804383,-89.62412729139285
Departamento en Venta en Montecarlo,7081000.0,15000.0,472.07,Centro,https://www.lamudi.com.mx/detalle/41032-73-f0e916afb5be-b9fb-19b5e43-b4a0-78c7,20.967278753803832,-89.62342074557851
Departamento en Venta en Temozon Norte,3345572.0,91.0,36764.53,Mérida,https://www.lamudi.com.mx/detalle/41032-73-75c802a6c5b4-d7fd-19b4990-986d-771d,20.967053591541085,-89.62414562639444
Departamento en Venta en Plan de Ayala,3494000.0,77.62,45014.17,Mérida,https://www.lamudi.com.mx/detalle/41032-73-2c83fbf7a13b-ce2f-197c40a-8775-7bb0,20.96729762108424,-89.62363378864168
Casa en Venta en Mérida Centro,5500000.0,348.0,15804.6,Mérida Centro,https://www.lamudi.com.mx/detalle/41032-73-892bc89df18-34ad-195ca5a-80a9-7196,20.96718703636622,-89.62391572134644
Departamento en Venta en Temozon Norte,2140000.0,82.85,25829.81,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-7b6ca859fd09-e818-4ad35be4-8f28-3402,21.06567710906093,-89.63427676071578
Casa en Venta en Cholul,3690000.0,201.0,18358.21,Cholul,https://www.lamudi.com.mx/detalle/41032-73-32b23ec520e6-1cfa-19477bc-9bb2-7aed,21.045141676574577,-89.55149095347971
Departamento en Venta en Rinconada de Chuburna,2290000.0,74.23,30850.06,Mérida,https://www.lamudi.com.mx/detalle/41032-73-8dbe0fbe9a2-b841-19a3806-b4df-7675,20.966773660890883,-89.624087049729
Lote / Terreno en Venta en Cosgaya,28812641.0,102902.29,280.0,Mérida,https://www.lamudi.com.mx/detalle/41032-73-6051f6ea0c56-a183-1995ff3-81fa-7d0a,20.967037033195062,-89.62381594408767
Departamento en Venta en Temozon Norte,3150000.0,166.0,18975.9,Mérida,https://www.lamudi.com.mx/detalle/41032-73-d64379f40d1a-962c-2c656a78-9a03-34ad,20.966843009924684,-89.62408267791655
Casa en Venta en Cholul,2600000.0,181.5,14325.07,Cholul,https://www.lamudi.com.mx/detalle/41032-73-10175eb3e23c-fc8f-198f8af-8bb0-7df4,21.0451254964881,-89.55165469832909
Casa en Venta en Cholul,3150000.0,225.0,14000.0,Cholul,https://www.lamudi.com.mx/detalle/41032-73-11643760cd8c-95b3-19b5345-b56c-77c4,21.04572631011556,-89.55166495225407
Departamento en Venta en Temozon Norte,7860000.0,122.5,64163.27,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-850d767fd565-86ba-39c31cd6-8118-30db,21.065487011726294,-89.63335183161209
Casa en Venta en Cholul,2750000.0,126.0,21825.4,Cholul,https://www.lamudi.com.mx/detalle/41032-73-de7a70b70b5c-60-35662624-915f-3520,21.045787516456326,-89.55167969910775
Casa en Venta en Dzitya,3950000.0,275.0,14363.64,Campestre,https://www.lamudi.com.mx/detalle/41032-73-49e250eefaa6-22b-19b1095-bd20-768c,21.0007387945428,-89.61536537013146
Casa en Venta en Temozon Norte,5559000.0,213.95,25982.71,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-89f2594330f4-2a9c-196bd1d-97aa-7153,21.06573732411371,-89.63345982679755
Departamento en Venta en Temozon Norte,2800000.0,108.0,25925.93,Centro,https://www.lamudi.com.mx/detalle/41032-73-8e817ad88b12-6da1-1958dc0-8829-76dd,20.967625709213287,-89.62365169458558
Casa en Venta en Cholul,6200000.0,500.0,12400.0,Cholul,https://www.lamudi.com.mx/detalle/41032-73-59f3f166d875-a850-194ffbb-b060-7739,21.045682210342086,-89.55164745695105
Departamento en Venta en Temozon Norte,2744000.0,1250.0,2195.2,Mérida,https://www.lamudi.com.mx/detalle/41032-73-13c9a50281a6-c746-19a9efb-ba76-7302,20.966716970077865,-89.6240389466798
Departamento en Venta en Temozon Norte,3684211.0,60.49,60906.12,Centro,https://www.lamudi.com.mx/detalle/41032-73-c18ce2b4aa89-6acb-19a5c6e-bdd1-7b9b,20.96746887997796,-89.62333038384723
Casa en Venta en Temozon Norte,9500000.0,361.0,26315.79,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-9ab27f441181-4f5c-549152d8-b37a-3481,21.065803898136508,-89.63349953155092
Casa en Venta en Temozon Norte,7844000.0,2022.0,3879.33,Mérida,https://www.lamudi.com.mx/detalle/41032-73-f8103782f54-2a0-5343a7fb-b96f-3098,20.967080642429057,-89.62417553193636
Casa en Venta en Mérida,7150000.0,284.0,25176.06,Mérida,https://www.lamudi.com.mx/detalle/41032-73-90a6698f2714-e6b2-19a8576-933a-7cb0,20.967550090767535,-89.62359284369929
Departamento en Venta en Temozon Norte,10000000.0,313.0,31948.88,Mérida,https://www.lamudi.com.mx/detalle/41032-73-fc131c0f1ea-fcf4-198781f-ad9a-76e8,20.96687837291595,-89.6239032995849
Departamento en Venta en Temozon Norte,5815000.0,95.0,61210.53,Mérida,https://www.lamudi.com.mx/detalle/41032-73-666b1f5e7f35-76d2-e367a0b-a580-33a8,20.966751141189082,-89.62353605880512
Departamento en Venta en Temozon Norte,2649000.0,103.0,25718.45,Mérida,https://www.lamudi.com.mx/detalle/41032-73-39ebf7c2ac06-521b-1954541-831f-71d8,20.966864805941874,-89.62418257437929
Departamento en Venta en Temozon Norte,5354002.0,88.62,60415.28,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-4342dcccd40c-acea-82e4589e-9ef0-3db4,21.06541633335127,-89.63367532329985
Departamento en Venta en Temozon Norte,2750000.0,85.38,32208.95,Centro,https://www.lamudi.com.mx/detalle/41032-73-2bb5a59fa9c-db65-c5088e4-a591-3439,20.967233320047924,-89.62394022319084
Departamento en Venta en Villas La Hacienda,3550000.0,88.5,40112.99,Mérida,https://www.lamudi.com.mx/detalle/41032-73-c38c75ee8f2-6e05-199f50a-80f8-7223,20.966918874444975,-89.62329015661103
Departamento en Venta en Temozon Norte,2489069.0,62.84,39609.63,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-17c8fa963f8-c011-19486bc-be87-7cd8,21.065702026315474,-89.63428734199996
Departamento en Venta en Temozon Norte,2349000.0,94.94,24741.94,Mérida,https://www.lamudi.com.mx/detalle/41032-73-ce306bd771db-466f-19019b2-8dab-7eca,20.967273561151647,-89.62401231448804
Departamento en Venta en Temozon Norte,3049000.0,150.28,20288.79,Centro,https://www.lamudi.com.mx/detalle/41032-73-efef334213a7-4be9-754606ba-b263-3e6e,20.967234616896935,-89.62351914492518
Departamento en Venta en Temozon Norte,2499000.0,68.38,36545.77,Mérida,https://www.lamudi.com.mx/detalle/41032-73-e1d56efa8fa-823a-548a09da-9eb4-380d,20.967296994666643,-89.62370850090657
Departamento en Venta en Jose Maria Iturralde,3222000.0,60.35,53388.57,Centro,https://www.lamudi.com.mx/detalle/41032-73-6cc2111741b1-abfb-19443a9-9d80-7356,20.967137355284862,-89.62397511874367
Departamento en Venta en Temozon Norte,2549000.0,82.0,31085.37,Mérida,https://www.lamudi.com.mx/detalle/41032-73-c889ff5a2bc4-a131-1937ad8-b88c-78cc,20.96663043459054,-89.62417155283504
Departamento en Venta en Temozon Norte,2890000.0,82.0,35243.9,Centro,https://www.lamudi.com.mx/detalle/41032-73-7dc5f6b8b566-e28e-1928e56-9fbd-7d60,20.96779626827153,-89.62417525745934
Departamento en Venta en Temozon Norte,2800000.0,80.0,35000.0,Temozón Norte,https://www.lamudi.com.mx/detalle/41032-73-8c135e5b154e-ee9a-700e0810-ad0f-30f2,21.06530732209702,-89.63416297612375
Departamento en Venta en San Antonio Cucul,5253859.0,94.04,55868.34,Mérida,https://www.lamudi.com.mx/detalle/41032-73-55ac39f1a1e1-115c-3d40d1f7-8594-325a,20.966639197581276,-89.62378320717282
Departamento en Venta en Villas las Palmas,2405000.0,76.95,31254.06,Mérida,https://www.lamudi.com.mx/detalle/41032-73-bb9f346659ea-e3cc-1958833-a9a5-766b,20.96732666921879,-89.62391360053638
Departamento en Venta en La Castellana,11500000.0,240000.0,47.92,Mérida,https://www.lamudi.com.mx/detalle/41032-73-8b557ab0fe0-9857-190e7a1-b6d7-72ab,20.96709280925221,-89.62343729203259
Casa en Venta en Mérida Centro,6500000.0,379.19,17141.8,Mérida Centro,https://www.lamudi.com.mx/detalle/41032-73-76fc759b265f-b34a-196b7f1-9221-71e1,20.967604126931572,-89.62347219286573
Departamento en Venta en Villas La Hacienda,2599000.0,67.0,38791.04,Mérida,https://www.lamudi.com.mx/detalle/41032-73-ae7261c18f3b-4a4c-197ce02-b52f-7898,20.966972581678334,-89.62418747187093
